id,fy,state_name,district_name,total_dbt_transfer,no_of_dbt_transactions,start_year,end_year,transfer_per_transaction
46,2019-2020,Punjab,Patiala,601200000,3636883,2019,2020,165.30639011483186
47,2019-2020,Punjab,Rupnagar,159600000,979104,2019,2020,163.00617707618395
48,2019-2020,Punjab,Sangrur,499800000,2941236,2019,2020,169.92856064593252
49,2019-2020,Punjab,Barnala,155100000,933828,2019,2020,166.09054344054795
50,2019-2020,Punjab,S.A.S Nagar,449600000,2744922,2019,2020,163.7933609771061
51,2019-2020,Punjab,Tarn Taran,304400000,1670558,2019,2020,182.2145654326279
52,2019-2020,Punjab,Fazilka,331200000,1835194,2019,2020,180.47138340687687
53,2019-2020,Punjab,Pathankot,246900000,1332511,2019,2020,185.28927716168948
54,2019-2020,Punjab,Malerkotla,28738211,275761,2019,2020,104.21419635118816
55,2019-2020,Chandigarh,Chandigarh,319400000,1930140,2019,2020,165.4802242324391
56,2019-2020,Uttarakhand,Almora,112100000,608359,2019,2020,184.2661980836973
57,2019-2020,Uttarakhand,Bageshwar,45600000,247220,2019,2020,184.45109618962866
58,2019-2020,Uttarakhand,Chamoli,68000000,371220,2019,2020,183.17978557189807
59,2019-2020,Uttarakhand,Champawat,54200000,291726,2019,2020,185.79077627636892
60,2019-2020,Uttarakhand,Dehradun,692400000,4132654,2019,2020,167.54366564440187
61,2019-2020,Uttarakhand,Haridwar,472900000,2850839,2019,2020,165.88099152565263
62,2019-2020,Uttarakhand,Nainital,310400000,1800488,2019,2020,172.39770551095037
63,2019-2020,Uttarakhand,Pauri Garhwal,163700000,901571,2019,2020,181.57194497161066
64,2019-2020,Uttarakhand,Pithoragarh,114600000,613631,2019,2020,186.7571879517169
65,2019-2020,Uttarakhand,Rudra Prayag,50800000,270553,2019,2020,187.76358051841967
66,2019-2020,Uttarakhand,Tehri Garhwal,77300000,425186,2019,2020,181.80278748594733
67,2019-2020,Uttarakhand,Udam Singh Nagar,460500000,2690406,2019,2020,171.16375744032686
68,2019-2020,Uttarakhand,Uttar Kashi,55400000,301556,2019,2020,183.71380440117258
69,2019-2020,Haryana,Ambala,377800000,2335734,2019,2020,161.74787026262408
70,2019-2020,Haryana,Bhiwani,305900000,1868205,2019,2020,163.7400606464494
71,2019-2020,Haryana,Faridabad,637300000,4340614,2019,2020,146.8225463033571
72,2019-2020,Haryana,Fatehabad,277100000,1656658,2019,2020,167.26445651425942
73,2019-2020,Haryana,Gurugram,670700000,4434498,2019,2020,151.2459809430515
74,2019-2020,Haryana,Hisar,485600000,2898252,2019,2020,167.5492676275217
75,2019-2020,Haryana,Jhajjar,286300000,1832362,2019,2020,156.24641855703186
76,2019-2020,Haryana,Jind,273100000,1675595,2019,2020,162.98687928765602
77,2019-2020,Haryana,Kaithal,245900000,1495314,2019,2020,164.44706596741554
78,2019-2020,Haryana,Karnal,442600000,2792835,2019,2020,158.47695979175282
79,2019-2020,Haryana,Kurukshetra,325800000,2046865,2019,2020,159.17024327447095
80,2019-2020,Haryana,Mahendragarh,193600000,1201650,2019,2020,161.11180460200558
81,2019-2020,Haryana,Panchkula,185800000,1134180,2019,2020,163.81879419492498
82,2019-2020,Haryana,Panipat,416100000,2659398,2019,2020,156.46398169811363
83,2019-2020,Haryana,Rewari,293500000,1814449,2019,2020,161.75709540472067
84,2019-2020,Haryana,Rohtak,341000000,2168975,2019,2020,157.2171186850932
85,2019-2020,Haryana,Sirsa,363800000,2074201,2019,2020,175.392838013288
86,2019-2020,Haryana,Sonipat,428100000,2710000,2019,2020,157.97047970479704
87,2019-2020,Haryana,Yamunanagar,414400000,2531121,2019,2020,163.7219240012627
88,2019-2020,Haryana,Nuh,134000000,902291,2019,2020,148.51084627908293
89,2019-2020,Haryana,Palwal,190500000,1263585,2019,2020,150.76152375977873
90,2019-2020,Haryana,Charki Dadri,69800000,434750,2019,2020,160.55204140310522
91,2019-2020,Delhi,Central,412500000,2761292,2019,2020,149.38659149412666
92,2019-2020,Delhi,East,699900000,4675664,2019,2020,149.6899691680155
93,2019-2020,Delhi,New Delhi,212800000,1438824,2019,2020,147.89856160308696
94,2019-2020,Delhi,North,563000000,3745419,2019,2020,150.31696053231963
95,2019-2020,Delhi,North East,392200000,2490535,2019,2020,157.47620491179606
96,2019-2020,Delhi,North West,723500000,4808758,2019,2020,150.45464962054652
97,2019-2020,Delhi,South,402000000,2686151,2019,2020,149.65651595908048
98,2019-2020,Delhi,South West,718700000,4763808,2019,2020,150.86670159670584
99,2019-2020,Delhi,West,802700000,5345937,2019,2020,150.15141405519742
100,2019-2020,Delhi,South East,439100000,2951060,2019,2020,148.79399266704166
101,2019-2020,Delhi,Shahdara,258100000,1718029,2019,2020,150.23029296944347
102,2019-2020,Rajasthan,Ajmer,467300000,3497392,2019,2020,133.61384711808114
103,2019-2020,Rajasthan,Alwar,526200000,3520699,2019,2020,149.45895687191663
104,2019-2020,Rajasthan,Banswara,130200000,787320,2019,2020,165.37113244932175
105,2019-2020,Rajasthan,Baran,157300000,1091674,2019,2020,144.09063511634426
106,2019-2020,Rajasthan,Barmer,274700000,1733614,2019,2020,158.45511169152994
107,2019-2020,Rajasthan,Bharatpur,334700000,2063406,2019,2020,162.2075345327095
108,2019-2020,Rajasthan,Bhilwara,445800000,3183757,2019,2020,140.0232492617998
109,2019-2020,Rajasthan,Bikaner,402600000,2558531,2019,2020,157.35592025267624
